state,labeler_code,total_prescriptions,total_medicaid_spending,drug_count
AL,69238,25025.0,494787.49,39
AL,69315,24810.0,352532.1,22
AL,33342,24632.0,390645.36,38
AL,67457,23923.0,121758.24,11
AL,00527,22241.0,1229018.88,25
AL,47781,21721.0,1927516.08,12
AL,00186,21552.0,4893951.09,4
AL,21922,20736.0,421723.8,13
AL,00555,20199.0,365726.93,27
AL,27808,19688.0,392986.28,12
AL,64850,19421.0,929035.32,5
AL,00641,19205.0,45237.79,18
AL,72578,18360.0,284277.38,27
AL,00003,18209.0,11180834.83,8
AL,78206,17900.0,6395027.83,8
AL,53746,17421.0,376990.08999999997,16
AL,00088,17025.0,2252520.26,3
AL,16729,16882.0,257400.27,28
AL,49483,16754.0,187918.64,6
AL,10702,16361.0,275698.02,13
AL,70756,16152.0,309250.76,25
AL,12496,16037.0,9711015.0,4
AL,60219,15899.0,420625.51,13
AL,00487,15305.0,479357.61,4
AL,70700,15287.0,324767.56,29
AL,13107,15018.0,210026.49,8
AL,00168,14799.0,273982.52,15
AL,52817,14307.0,301246.94,24
AL,00185,14227.0,214946.77,6
AL,00517,14026.0,1180237.8800000001,15
AL,76204,14015.0,307729.64,4
AL,61314,13802.0,239168.61000000002,15
AL,00172,13604.0,148385.19,6
AL,70752,13519.0,195767.72,12
AL,57664,13164.0,854144.15,11
AL,00338,13059.0,644265.1900000001,20
AL,00713,12981.0,342325.98,20
AL,00591,12904.0,314412.97000000003,36
AL,00024,12172.0,42965391.7,7
AL,50242,11464.0,31354080.39,23
AL,42858,11436.0,611389.98,7
AL,00173,11394.0,5435234.82,12
AL,00603,11222.0,288068.9,11
AL,00904,11143.0,118817.35,7
AL,69367,11102.0,237614.29,25
AL,49230,11053.0,378667.74,3
AL,24208,11051.0,574194.97,24
AL,00456,11018.0,5868163.77,9
AL,24979,10946.0,315419.93,10
AL,54838,10750.0,366427.54,6
AL,42571,10681.0,203722.53,22
AL,00832,10430.0,317073.22,32
AL,42799,10359.0,198810.19,12
AL,00078,10328.0,25531854.94,21
AL,00310,10278.0,7880305.94,18
AL,44567,10234.0,18306.61,6
AL,70069,10007.0,269224.98,17
AL,45963,9810.0,148061.47,6
AL,00009,9566.0,77241.41,10
AL,51991,9458.0,219301.97,13
AL,70377,9006.0,179717.15,12
AL,50742,8696.0,213400.53,27
AL,11534,8414.0,91138.7,5
AL,47335,8226.0,274568.31,11
AL,49884,8016.0,365059.17,20
AL,00006,7807.0,9541101.39,10
AL,59148,7615.0,16591149.11,9
AL,61874,7564.0,10968655.24,2
AL,59762,7489.0,196221.05,20
AL,59746,7415.0,130285.7,10
AL,13811,7402.0,218562.91999999998,8
AL,00074,6887.0,52602586.21,17
AL,00264,6849.0,63349.18,11
AL,17772,6840.0,3565431.73,4
AL,73070,6820.0,1495212.17,2
AL,42385,6621.0,76144.69,4
AL,69584,6605.0,80046.14,7
AL,72266,6384.0,13539.45,8
AL,00472,6300.0,159671.89,12
AL,54092,6271.0,1536404.66,4
AL,55150,6141.0,102626.27,19
AL,65038,6088.0,2476959.26,1
AL,62756,5908.0,253780.33000000002,11
AL,00116,5764.0,76652.11,2
AL,59353,5686.0,575491.83,8
AL,81964,5615.0,95374.86,2
AL,72485,5522.0,205630.16999999998,5
AL,00642,5407.0,933205.53,8
AL,70436,5169.0,107782.51000000001,13
AL,61958,5006.0,20926400.23,8
AL,24478,4932.0,2265847.61,5
AL,55513,4881.0,7144748.51,17
AL,70121,4833.0,184564.54,8
AL,75834,4732.0,134960.9,8
AL,50474,4289.0,11507954.32,9
AL,71288,4262.0,64037.799999999996,15
AL,63304,4249.0,62292.97,8
AL,00023,4003.0,3157646.34,8
AL,62559,3989.0,524508.23,16
AL,35573,3816.0,96130.59,5
