product_name,total_units,total_prescriptions,total_medicaid_spending,total_non_medicaid_spending,total_reimbursed,ndc_count,labeler_count
XELJANZ TO,608644.34,13614.0,82850345.84,888963.5800000001,83739309.42,2,1
TIVICAY,1122964.0,32976.0,82838430.26,1086967.03,83925397.29,1,1
JAKAFI,287239.4,5195.0,82766792.65,949556.21,83716348.86,5,1
HUMALOG KW,4457602.475,224539.0,82720460.2,2838631.37,85559091.57000001,4,1
STELARA 45,3072.908,4726.0,82630708.49,1515726.76,84146435.25,2,1
ORENCIA SC,57772.6,14150.0,82004740.45,1379355.37,83384095.82,3,1
GAMUNEX-C,9864923.0,23668.0,81977850.24,9636685.18,91614535.42,12,1
CONCERTA E,6287613.0,200006.0,81844922.56,420544.19,82265466.75,4,1
XOLAIR 150,69896.274,32674.0,81563035.11,3762205.86,85325240.97,4,1
SERTRALINE,313858976.494,6770283.0,80108360.15,1167011.14,81275371.29,101,17
BIMZELX 1,10433.0,4015.0,79993503.11,568398.14,80561901.25,4,1
SPRAVATO,185041.083,50137.0,79414931.82,770004.25,80184936.07000001,3,1
BUPROPION,224435208.217,5047194.0,79190532.92,1006430.5,80196963.42,201,38
DUVYZAT OR,304780.0,1546.0,79090675.37,2558815.4,81649490.77,1,1
HYDROXYZIN,449047013.562,6792479.0,79022774.06,1390359.38,80413133.44,117,25
SPRYCEL,153573.0,4704.0,77991502.84,572014.98,78563517.82,6,1
PAXLOVID 1,1613930.0,55664.0,77920776.23,1288412.78,79209189.01,4,1
CETIRIZINE,583154894.969,7752152.0,77495105.4,333235.55,77828340.95,82,29
GATTEX - 3,53250.0,1736.0,77102386.19,3696918.21,80799304.4,1,1
LINZESS 29,4285438.0,119375.0,75843371.26,1957504.6,77800875.86,1,1
VYVANSE 50,6109220.0,206843.0,75723835.37,1646641.47,77370476.84,2,1
BENLYSTA S,60635.0,14690.0,74187632.2,1018915.55,75206547.75,2,1
XOLAIR 300,56709.858,21960.0,74142782.46,2636727.29,76779509.75,2,1
TRIUMEQ 50,599259.0,16762.0,74090185.04,1368299.34,75458484.38,1,1
BOTOX,115755.406,100593.0,74060800.09,18363322.22,92424122.31,2,1
QUILLIVANT,27751256.0,169159.0,73332257.9,2236700.59,75568958.49,4,1
VALTOCO,225833.0,52213.0,73287767.0,4740829.99,78028596.99,8,1
TRIUMEQ,590284.0,17562.0,73070517.46,759771.25,73830288.71,1,1
TIVICAY TA,980790.0,27964.0,73070239.74,951739.8200000001,74021979.56,1,1
MYRBETRIQ,5456119.0,137817.0,72556394.81,1134613.94,73691008.75,5,1
LENALIDOMI,113132.0,5377.0,72038844.31,853297.76,72892142.07000001,37,10
FINTEPLA,1382948.0,5595.0,70949288.37,4959246.71,75908535.08,1,1
OMEPRAZOLE,296050404.79,6624065.0,70845196.64,1043307.28,71888503.92,135,28
ODEFSEY,581454.0,17398.0,70730731.85,873890.95,71604622.8,1,1
VYVANSE 20,5682466.392,189249.0,70722682.52,1359567.02,72082249.54,2,1
TREMFYA ON,5013.05,4992.0,69550730.55,730246.46,70280977.01,1,1
CABOMETYX,81574.0,2879.0,69549527.76,995749.35,70545277.11,3,1
COMBIVENT,572999.0,132698.0,69169469.9,935380.64,70104850.54,1,1
KRYSTEXXA,2748.875,2385.0,69064618.74,4023266.89,73087885.63,1,1
EXONDYS 51,87789.6,2339.0,69050676.86,256447.03,69307123.89,2,1
CLINDAMYCI,136940274.708,2445429.0,68142243.5,1506681.24,69648924.74,144,35
ILARIS VIA,3421.954,2601.0,68136432.01,1872840.25,70009272.26,1,1
BASAGLAR,3173306.05,175766.0,68126406.77,566448.3099999999,68692855.08,2,1
PRIVIGEN,42179.748,12830.0,68095746.63,3345111.07,71440857.7,8,1
BENLYSTA,66705.594,18013.0,68036646.14,7829017.66,75865663.8,4,1
BRIVIACT (,5584344.0,46061.0,67960004.4,3488794.88,71448799.28,8,1
DAYBUE ORA,3201750.0,1575.0,67517857.51,8254876.57,75772734.08,1,1
HUMIRA PFS,20648.15,8268.0,67428369.33,1697640.01,69126009.34,1,1
UZEDY,7517.87,21947.0,67246500.68,754019.42,68000520.1,7,1
NUBEQA,578062.0,5096.0,67136199.93,1143044.43,68279244.36,1,1
RINVOQ 30M,319237.0,9906.0,66944439.24,2300801.1,69245240.34,1,1
QULIPTA (A,1830571.0,58067.0,66750205.019999996,611014.22,67361219.24,3,1
UZEDY ER I,7367.487,21264.0,66466015.2,425527.8,66891543.0,7,1
RINVOQ ER,298513.0,9822.0,66436465.89,1744185.94,68180651.83,3,1
HUMULIN R,1673150.554,112933.0,66127158.15,1955416.66,68082574.81,5,1
QULIPTA,1809801.0,59038.0,65876597.76,584524.35,66461122.11,3,1
REMICADE,130905.105,28631.0,65183647.589999996,7584884.58,72768532.17,1,1
STEGLATRO,5607521.0,146639.0,65176324.52,65040.07,65241364.59,4,1
APRETUDE,49454.04,16943.0,64477526.17,179362.2,64656888.37,1,1
UPTRAVI  S,200207.0,2603.0,64274865.03,1138928.82,65413793.85,10,1
REXULTI 1.,1325826.0,42591.0,64268312.28,246486.31,64514798.589999996,1,1
PREZCOBIX,811794.0,24881.0,63822232.77,723010.9400000001,64545243.71,1,1
OTEZLA  AP,756644.0,11438.0,63734840.19,1231798.98,64966639.17,3,1
TALTZ 80 M,9165.0,7821.0,63542893.0,404074.51,63946967.51,4,1
TAGRISSO 8,108999.0,3616.0,63010230.56,459297.02,63469527.58,1,1
LIRAGLUTID,1139538.1,140957.0,62565407.68,569096.04,63134503.72,7,3
XCOPRI CEN,1669806.027,46530.0,62223591.85,4806363.13,67029954.98,9,1
FAMOTIDINE,267644077.188,5157437.0,61938862.58,11574454.02,73513316.6,126,41
TAKHZYRO 3,4772.0,1342.0,61748001.25,1507098.79,63255100.04,1,1
RYBELSUS 1,1926104.0,46368.0,61683613.6,881522.9,62565136.5,1,1
SODIUM CHL,1448614339.837,1594404.0,61379713.35,84130797.29,145510510.64,170,20
TRAZODONE,256303915.669,6013282.0,61312702.87,709766.92,62022469.79,75,14
AMLODIPINE,326177171.135,6397948.0,61140168.14,803360.86,61943529.0,217,29
INVEGA HAF,15163.084,3397.0,60930125.07,540598.92,61470723.99,2,1
EMGALITY P,87445.2,79963.0,60726171.12,1572015.3,62298186.42,2,1
CREON (PAN,5027304.0,23670.0,60641648.24,1388820.51,62030468.75,2,1
TEZSPIRE,28359.335,14927.0,60557809.53,3167456.18,63725265.71,2,1
AMONDYS 45,74710.6,1037.0,60121778.45,32059.0,60153837.45,1,1
VYJUVEK,2745.98,1724.0,59751555.21,93419.72,59844974.93,1,1
CIMZIA PRE,10382.028,8452.0,59578109.32,417727.5,59995836.82,1,1
GATTEX,40920.0,1312.0,59422620.29,2867668.7399999998,62290289.03,1,1
OPZELURA 1,1773191.0,29169.0,59151711.13,468481.94,59620193.07,1,1
STRENSIQ 8,8294.4,512.0,59029191.59,134670.77,59163862.36,1,1
FARXIGA 5M,3064366.0,74734.0,58803531.64,587159.77,59390691.410000004,1,1
LO LOESTRI,9005628.417,189427.0,58659938.46,680731.05,59340669.51,1,1
REXULTI 2.,1211102.5,38730.0,58586899.99,286859.65,58873759.64,1,1
RYBELSUS 7,1819729.0,44786.0,58413023.79,825026.78,59238050.57,1,1
TREMFYA,7098.4400000000005,4246.0,58402786.96,808860.1,59211647.06,4,1
QUILLICHEW,4915617.0,159642.0,58387797.88,1271152.96,59658950.84,3,1
ARISTADA 8,62184.704,19580.0,57860550.97,403940.35,58264491.32,1,1
CONCERTA,4421335.0,142396.0,57197836.48,711709.4,57909545.88,4,1
BIKTARVY B,428977.0,12163.0,57066764.68,1358522.73,58425287.41,1,1
DUPIXENT 2,34796.14,15312.0,56901420.68,1207935.98,58109356.66,2,1
REVLIMID,65123.0,3055.0,56498791.24,201173.14,56699964.38,9,1
LINZESS 72,3209597.112,93169.0,56343297.57,1889053.49,58232351.06,1,1
DAYBUE,2506500.0,1284.0,56316676.49,2654683.57,58971360.06,1,1
LISINOPRIL,321337517.488,6011843.0,56293292.48,643938.53,56937231.01,158,14
